_key,player_id,player_name,age_start,year_start,year_end,last_name
OsweBr00,OsweBr00,Brock Osweiler,22,2012,2018,Osweiler
PageMi00,PageMi00,Mike Pagel,22,1982,1993,Pagel
PalmCa00,PalmCa00,Carson Palmer,25,2004,2017,Palmer
PariBa00,PariBa00,Babe Parilli,22,1952,1958,Parilli
PastDa00,PastDa00,Dan Pastorini,22,1971,1983,Pastorini
PedeDo00,PedeDo00,Doug Pederson,25,1993,2004,Pederson
PeetRo00,PeetRo00,Rodney Peete,23,1989,2004,Peete
PellSt00,PellSt00,Steve Pelluer,23,1985,1990,Pelluer
PennCh01,PennCh01,Chad Pennington,24,2000,2010,Pennington
PhipMi00,PhipMi00,Mike Phipps,23,1970,1981,Phipps
PisaJo00,PisaJo00,Joe Pisarcik,25,1977,1984,Pisarcik
PlumJa00,PlumJa00,Jake Plummer,23,1997,2006,Plummer
PlumMi00,PlumMi00,Milt Plum,22,1957,1969,Plum
PlunJi00,PlunJi00,Jim Plunkett,24,1971,1986,Plunkett
PondCh00,PondCh00,Christian Ponder,23,2011,2014,Ponder
PresDa01,PresDa01,Dak Prescott,23,2016,2021,Prescott
QuinBr00,QuinBr00,Brady Quinn,23,2007,2012,Quinn
RamsPa00,RamsPa00,Patrick Ramsey,23,2002,2008,Ramsey
RamsSt00,RamsSt00,Steve Ramsey,22,1970,1976,Ramsey
RattGe00,RattGe00,George Ratterman,24,1950,1956,Ratterman
RattTi00,RattTi00,Tim Rattay,23,2000,2007,Rattay
ReavJo00,ReavJo00,John Reaves,22,1972,1987,Reaves
RedmCh00,RedmCh00,Chris Redman,23,2000,2011,Redman
ReedJo00,ReedJo00,Joe Reed,25,1973,1979,Reed
ReicFr00,ReicFr00,Frank Reich,24,1985,1998,Reich
RivePh00,RivePh00,Philip Rivers,23,2004,2020,Rivers
RobiMa01,RobiMa01,Matt Robinson,22,1977,1982,Robinson
RodgAa00,RodgAa00,Aaron Rodgers,22,2005,2021,Rodgers
RoetBe00,RoetBe00,Ben Roethlisberger,22,2004,2021,Roethlisberger
RomoTo00,RomoTo00,Tony Romo,26,2006,2016,Romo
RoseJo01,RoseJo01,Josh Rosen,21,2018,2021,Rosen
RoseSa00,RoseSa00,Sage Rosenfels,24,2002,2008,Rosenfels
RoseTi00,RoseTi00,Timm Rosenbach,23,1989,1992,Rosenbach
RoteTo00,RoteTo00,Tobin Rote,22,1950,1959,Rote
RussJa00,RussJa00,JaMarcus Russell,22,2007,2009,Russell
RutlJe00,RutlJe00,Jeff Rutledge,22,1979,1991,Rutledge
RyanFr00,RyanFr00,Frank Ryan,22,1958,1970,Ryan
RyanMa00,RyanMa00,Matt Ryan,23,2008,2021,Ryan
RyanPa00,RyanPa00,Pat Ryan,23,1978,1991,Ryan
RypiMa00,RypiMa00,Mark Rypien,26,1988,2001,Rypien
SaliSe00,SaliSe00,Sean Salisbury,24,1987,1996,Salisbury
